9546321555	0	0	0.00	0.08	0.00	0.00
5612971340	5	50	2.00	0.08	0.16	2.16
3051234567	8	25	1.60	0.08	0.13	1.73
7542346622	24	17	3.26	0.12	0.39	3.66
3054432762	15	30	3.60	0.08	0.29	3.89
9544321011	50	100	40.00	0.12	4.80	44.80
8776219988	87	82	57.07	0.12	6.85	63.92
9042224556	4	5	0.16	0.08	0.01	0.17
7877176590	11	1	0.09	0.08	0.01	0.10
5617278899	20	45	7.20	0.08	0.58	7.78
9546321555	4	3	0.10	0.08	0.01	0.10
5612971340	79	86	54.35	0.12	6.52	60.87
3051234567	8	25	1.60	0.08	0.13	1.73
7542346622	24	118	22.66	0.12	2.72	25.37
3054432762	115	25	23.00	0.12	2.76	25.76
9544321011	43	10	3.44	0.12	0.41	3.85
8776219988	265	22	46.64	0.12	5.60	52.24
9042224556	2	5	0.08	0.08	0.01	0.09
7877176590	89	67	47.70	0.12	5.72	53.43
5617278899	40	56	17.92	0.12	2.15	20.07
